scope_id,family,status
OMIT-001,July 3 checkpoint,NOT_EXECUTED_SCOPE_AMENDMENT
OMIT-002,all live caps except 1 MiB,NOT_EXECUTED_SCOPE_AMENDMENT
OMIT-003,Delta1,NOT_EXECUTED_SCOPE_AMENDMENT
OMIT-004,P/PD at Delta5/60,NOT_EXECUTED_SCOPE_AMENDMENT
OMIT-005,q100/q300 outside L-primary,NOT_EXECUTED_SCOPE_AMENDMENT
OMIT-006,lag30,NOT_EXECUTED_SCOPE_AMENDMENT
OMIT-007,delay5,NOT_EXECUTED_SCOPE_AMENDMENT
OMIT-008,secondary R/O/A cross-products,NOT_EXECUTED_SCOPE_AMENDMENT
OMIT-009,P/PD archive prefixes,NOT_EXECUTED_SCOPE_AMENDMENT
OMIT-010,archive live rows at other caps,NOT_EXECUTED_SCOPE_AMENDMENT
OMIT-011,full nominal-tie trajectory enumeration,NOT_EXECUTED_SCOPE_AMENDMENT
OMIT-012,full closed +/-u trajectory enumeration/certification,NOT_EXECUTED_SCOPE_AMENDMENT
