fixture,phase,numerator,denominator
SYNTHETIC_INVENTED,0,0,23
SYNTHETIC_INVENTED,1,1,23
SYNTHETIC_INVENTED,2,2,23
SYNTHETIC_INVENTED,3,3,23
SYNTHETIC_INVENTED,4,4,23
SYNTHETIC_INVENTED,5,5,23
SYNTHETIC_INVENTED,6,6,23
SYNTHETIC_INVENTED,7,7,23
SYNTHETIC_INVENTED,8,8,23
SYNTHETIC_INVENTED,9,9,23
SYNTHETIC_INVENTED,10,10,23
SYNTHETIC_INVENTED,11,11,23
SYNTHETIC_INVENTED,12,12,23
SYNTHETIC_INVENTED,13,13,23
SYNTHETIC_INVENTED,14,14,23
SYNTHETIC_INVENTED,15,15,23
SYNTHETIC_INVENTED,16,16,23
SYNTHETIC_INVENTED,17,17,23
SYNTHETIC_INVENTED,18,18,23
SYNTHETIC_INVENTED,19,19,23
SYNTHETIC_INVENTED,20,20,23
SYNTHETIC_INVENTED,21,21,23
SYNTHETIC_INVENTED,22,22,23
SYNTHETIC_INVENTED,23,23,23
SYNTHETIC_INVENTED,24,0,23
SYNTHETIC_INVENTED,25,1,23
SYNTHETIC_INVENTED,26,2,23
SYNTHETIC_INVENTED,27,3,23
SYNTHETIC_INVENTED,28,4,23
SYNTHETIC_INVENTED,29,5,23
SYNTHETIC_INVENTED,30,6,23
SYNTHETIC_INVENTED,31,7,23
SYNTHETIC_INVENTED,32,8,23
SYNTHETIC_INVENTED,33,9,23
SYNTHETIC_INVENTED,34,10,23
SYNTHETIC_INVENTED,35,11,23
SYNTHETIC_INVENTED,36,12,23
SYNTHETIC_INVENTED,37,13,23
SYNTHETIC_INVENTED,38,14,23
SYNTHETIC_INVENTED,39,15,23
SYNTHETIC_INVENTED,40,16,23
SYNTHETIC_INVENTED,41,17,23
SYNTHETIC_INVENTED,42,18,23
SYNTHETIC_INVENTED,43,19,23
SYNTHETIC_INVENTED,44,20,23
SYNTHETIC_INVENTED,45,21,23
SYNTHETIC_INVENTED,46,22,23
SYNTHETIC_INVENTED,47,23,23
SYNTHETIC_INVENTED,48,0,23
SYNTHETIC_INVENTED,49,1,23
SYNTHETIC_INVENTED,50,2,23
SYNTHETIC_INVENTED,51,3,23
SYNTHETIC_INVENTED,52,4,23
SYNTHETIC_INVENTED,53,5,23
SYNTHETIC_INVENTED,54,6,23
SYNTHETIC_INVENTED,55,7,23
SYNTHETIC_INVENTED,56,8,23
SYNTHETIC_INVENTED,57,9,23
SYNTHETIC_INVENTED,58,10,23
SYNTHETIC_INVENTED,59,11,23
